"DigiRAMP Category","DigiRAMP Genre","Ngrove Category","Ngrove Genre","iTunes Category","iTunes Genre"
"Blues","Blues","Blues","Blues","Blues",
"Blues","Contemporary Blues","Blues","Blues (Contemporary)","Blues","Contemporary Blues"
"Blues","Classic Blues","Blues","Blues (Traditional)","Blues","Classic Blues"
"Blues","Chicago Blues",,,"Blues","Chicago Blues"
"Blues","Country Blues",,,"Blues","Country Blues"
"Blues","Delta Blues",,,"Blues","Delta Blues"
"Blues","Electric Blues",,,"Blues","Electric Blues"
"Blues","Acoustic Blues",,,"Blues","Acoustic Blues"
,,,,,
"Children's Music","Children's Music","Children's Music","Children's Music","Children's Music","Children's Music"
"Children's Music","Lullabies",,,"Children's Music","Lullabies"
"Children's Music","Sing-Along",,,"Children's Music","Sing-Along"
"Children's Music","Stories",,,"Children's Music","Stories"
,,,,,
"Christian","Christian","Christian","Christian","Christian & Gospel","Christian & Gospel"
"Christian","Christian Pop","Christian","Christian Pop","Christian & Gospel","Christian Pop"
"Christian","Christian Rap/Hip-Hop","Christian","Christian Rap/Hip-Hop","Christian & Gospel","Christian Rap"
"Christian","Christian Rock","Christian","Christian Rock","Christian & Gospel","Christian Rock"
"Christian","Gospel","Christian","Gospel","Christian & Gospel","Gospel"
"Christian","Religious","Christian","Religious",,
"Christian","CCM",,,"Christian & Gospel","CCM"
"Christian","Christian Metal",,,"Christian & Gospel","Christian Metal"
"Christian","Classic Christian",,,"Christian & Gospel","Classic Christian"
"Christian","Contemporary Gospel",,,"Christian & Gospel","Contemporary Gospel"
"Christian","Praise & Worship",,,"Christian & Gospel","Praise & Worship"
"Christian","Southern Gospel",,,"Christian & Gospel","Southern Gospel"
"Christian","Traditional Gospel",,,"Christian & Gospel","Traditional Gospel"
,,,,,
,,,,,
"Classical","Classical","Classical","Classical","Classical","Classical"
"Classical","Baroque","Classical","Baroque","Classical","Baroque"
"Classical","Classical Guitar","Classical","Classical Guitar",,
"Classical","Contemporary Classical","Classical","Contemporary Classical",,
"Classical","Modern Classical","Classical","Modern Classical",,
"Classical","Opera","Classical","Opera","Classical","Opera"
"Classical","Piano Classical","Classical","Piano Classical",,
"Classical","Avant-Garde",,,"Classical","Avant-Garde"
"Classical","Chamber Music",,,"Classical","Chamber Music"
"Classical","Chant",,,"Classical","Chant"
"Classical","Choral",,,"Classical","Choral"
"Classical","Classical Crossover",,,"Classical","Classical Crossover"
"Classical","Early Music",,,"Classical","Early Music"
"Classical","Impressionist",,,"Classical","Impressionist"
"Classical","Medieval",,,"Classical","Medieval"
"Classical","Minimalism",,,"Classical","Minimalism"
"Classical","Modern Composition",,,"Classical","Modern Composition"
"Classical","Orchestral",,,"Classical","Orchestral"
"Classical","Renaissance",,,"Classical","Renaissance"
"Classical","Romantic",,,"Classical","Romantic"
"Classical","Wedding Music",,,"Classical","Wedding Music"
"Classical","High Classical",,,"Classical","High Classical"
,,,,,
"Comedy","Comedy","Comedy","Comedy","Comedy","Comedy"
"Comedy","Novelty",,,"Comedy","Novelty"
"Comedy","Standup Comedy",,,"Comedy","Standup Comedy"
,,,,,
"Country ","Country ","Country ","Country ","Country ","Country "
